snapshot,CCGT,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-03-23 07:00:00,61949.507750504905,168.85331867269997,60156.96518007168,36070.81112154241,55422.854031408024,0.0,-1820.9990622435544
2015-03-23 08:00:00,23511.710046184802,0.0,61098.3562154321,39057.08659418639,84903.07187120206,0.0,-8406.360894856303
2015-03-23 09:00:00,0.0,0.0,58069.79801459139,41752.81392413415,111941.42957087304,0.0,-25088.83272792081
2015-03-23 10:00:00,0.0,0.0,30958.156135320354,48050.208223673195,129895.54557910857,0.0,-32404.256954688928
2015-03-23 11:00:00,0.0,0.0,44041.543892760834,39913.32642560435,139194.98710771202,-19223.95412259335,-36029.758501039454
2015-03-23 12:00:00,0.0,0.0,58601.844936477995,33300.65830371672,134082.98679855143,-37873.309303253496,-26778.017620971306
2015-03-23 13:00:00,0.0,0.0,57465.330089146635,41872.326396121156,105845.00940767335,-24834.80266590449,-23039.89794168822
2015-03-23 14:00:00,0.0,0.0,54970.187086333026,34564.21200331337,77190.07728918095,0.0,-11475.478653579274
2015-03-23 15:00:00,22197.412861330136,0.0,50654.744950990775,31120.354464573866,46144.83515994247,0.0,4581.635910837705
2015-03-23 16:00:00,58489.75867586512,0.0,45687.717804418004,33211.351912334554,17552.00209866609,0.0,4984.437677550821
2015-03-23 17:00:00,65357.740631147644,30467.509330912082,40525.41620063327,38401.359738336585,581.6917514057451,0.0,0.0
2015-03-23 18:00:00,66479.4859514352,41574.86752321205,39913.76797365186,37442.736278383905,0.0,8469.177569483214,-2429.866489491998
2015-03-23 19:00:00,63021.95444585517,41574.86752321205,37562.32499179186,44510.28622878295,0.0,6755.56129906442,-909.376133132173
2015-03-23 20:00:00,64182.08389189189,41574.86752321205,34869.31569747688,44756.86891578696,0.0,9267.547780126748,-3869.254645373463
2015-03-23 21:00:00,64781.925052116174,41574.86752321205,32116.871181829578,40593.23219795656,0.0,8074.344167918745,-375.79826841294926
2015-03-23 22:00:00,65295.911899375365,41574.86752321205,29956.47670328847,35951.3626444777,0.0,3870.392486184479,3546.096941473341
